Mine Name,Country,Region,Latitude,Longitude
Dahna Toor Coal Mine,Afghanistan,Africa & Middle East,35.70499225,67.31219552
Garmak Project Coal Mine,Afghanistan,Africa & Middle East,35.733,67.308
Shadashak Coal Mine,Afghanistan,Africa & Middle East,35.863255,67.596674
Tala Wa Barfak Coal Mine,Afghanistan,Africa & Middle East,35.33194,68.12
Valius Coal Mine,Albania,Europe (EU-27),41.39151824,19.73642639
Río Turbio Coal Mine,Argentina,Latin America,-51.538363,-72.324353
Airly Coal Mine,Australia,Australia & NZ,-33.12900777,149.975
Alpha Coal Project,Australia,Australia & NZ,-23.389482,146.39734
Alpha West Coal Project,Australia,Australia & NZ,-23.115171,146.332751
Angus Place Coal Mine,Australia,Australia & NZ,-33.351985,150.099356
Angus Place Coal Mine,Australia,Australia & NZ,-33.349157,150.199019
Angus Place West Coal Mine,Australia,Australia & NZ,-33.349157,150.199019
Appin Coal Mine,Australia,Australia & NZ,-34.211194,150.792736
Aquila Coal Mine,Australia,Australia & NZ,-22.990997,148.580506
Ashton Coal Mine,Australia,Australia & NZ,-32.468942,151.078493
Ashton Coal Mine,Australia,Australia & NZ,-32.468942,151.078493
Baralaba Coal Mine,Australia,Australia & NZ,-24.256025,149.851007
Baralaba Coal Mine,Australia,Australia & NZ,-24.15411438,149.8027197
Belview Coal Mine,Australia,Australia & NZ,-23.587132,148.977385
Bengalla Coal Mine,Australia,Australia & NZ,-32.268076,150.84
Blackwater Coal Mine,Australia,Australia & NZ,-23.685585,148.807361
Blackwood Coal Mine,Australia,Australia & NZ,-41.559798,148.130942
Blair Athol Coal Mine,Australia,Australia & NZ,-22.703221,147.54353
Bloomfield Coal Mine,Australia,Australia & NZ,-32.7928986,151.5841947
Boggabri Coal Mine,Australia,Australia & NZ,-30.6116182,150.1550389
Boundary Hill Coal Mine,Australia,Australia & NZ,-24.199444,150.494057
Broadmeadow Coal Mine,Australia,Australia & NZ,-21.8025693,147.98
Broadmeadow East Coal Mine,Australia,Australia & NZ,-21.823999,147.979227
Bulga Coal Mine,Australia,Australia & NZ,-32.6795434,151.1000279
Bulga Coal Mine,Australia,Australia & NZ,-32.6795434,151.1000279
Byerwen Coal Mine,Australia,Australia & NZ,-21.242828,147.835392
Bylong Coal Project,Australia,Australia & NZ,-32.451139,150.143913
Callide Coal Mine,Australia,Australia & NZ,-24.310921,150.622173
Cameby Downs Coal Mine,Australia,Australia & NZ,-26.6540316,150.3354945
Cameby Downs Coal Mine,Australia,Australia & NZ,-26.6181915,150.3548193
Capcoal Mine Complex,Australia,Australia & NZ,-22.990997,148.580506
Carborough Downs Coal Mine,Australia,Australia & NZ,-21.9502,148.2094
Carmichael Coal Project,Australia,Australia & NZ,-22.073611,146.329722
Carmichael Coal Project,Australia,Australia & NZ,-22.073611,146.329722
Carmichael Coal Project,Australia,Australia & NZ,-22.073611,146.329722
Caval Ridge Coal Mine,Australia,Australia & NZ,-22.1056069,148.0475444
Caval Ridge Coal Mine,Australia,Australia & NZ,-22.1056069,148.0475444
Central Queensland Coal Mine,Australia,Australia & NZ,-22.679446,149.659662
Chain Valley Coal Mine,Australia,Australia & NZ,-33.163056,151.549665
Chain Valley Consolidation Project,Australia,Australia & NZ,-33.163056,151.549665
China Stone Coal Mine,Australia,Australia & NZ,-21.166667,145.75
Clarence Colliery,Australia,Australia & NZ,-33.4597,150.2479
Clermont Coal Mine,Australia,Australia & NZ,-22.7201075,147.6195648
Clifford Coal Mine,Australia,Australia & NZ,-25.751851,149.662081
Clyde Park Project,Australia,Australia & NZ,-20.155867,144.86907
Collinsville Coal Mine,Australia,Australia & NZ,-20.5567302,147.8148229
Columboola Project,Australia,Australia & NZ,-26.744057,150.327096
Comet Ridge Coal Mine,Australia,Australia & NZ,-24.008602,148.372046
Commodore Coal Mine,Australia,Australia & NZ,-27.9343501,151.2554422
Cook Colliery,Australia,Australia & NZ,-23.7159074,148.8893157
Coppabella Coal Mine,Australia,Australia & NZ,-21.844554,148.427187
Cows Coal Mine,Australia,Australia & NZ,-20.63668673,147.85009
Cullenswood Coal Mine,Australia,Australia & NZ,-41.6125381,148.1254475
Curragh Coal Mine,Australia,Australia & NZ,-23.493219,148.842723
Curragh Coal Mine,Australia,Australia & NZ,-23.493219,148.842723
Daunia Coal Mine,Australia,Australia & NZ,-22.06065188,148.2933768
Dawson Complex,Australia,Australia & NZ,-24.889212,149.682066
Dawson Complex,Australia,Australia & NZ,-24.6168211,150.0504833
Dendrobium Coal Mine,Australia,Australia & NZ,-34.419776,150.826135
Dendrobium Extension Project,Australia,Australia & NZ,-34.419776,150.826135
Drake Coal Mine,Australia,Australia & NZ,-20.705189,147.812727
Dysart East Coal Project,Australia,Australia & NZ,-22.550335,148.414404
Eagle Downs Coal Project,Australia,Australia & NZ,-22.189318,148.204249
Eagle Downs Coal Project,Australia,Australia & NZ,-22.189318,148.204249
Elimatta Coal Mine,Australia,Australia & NZ,-26.021614,149.613529
Ensham Coal Mine,Australia,Australia & NZ,-23.454464,148.497455
Ewington Coal Mine,Australia,Australia & NZ,-33.3624,116.25
Foxleigh Coal Mine,Australia,Australia & NZ,-22.997778,148.803889
Galilee Coal Mine,Australia,Australia & NZ,-23.498536,145.94229
Gemini Coal Mine,Australia,Australia & NZ,-23.625986,149.257487
Glendell Coal Mine,Australia,Australia & NZ,-32.45121527,151.0783194
Glendell Coal Mine,Australia,Australia & NZ,-32.45121527,151.0783194
Goonyella-Riverside Coal Mine,Australia,Australia & NZ,-21.792321,147.962045
Gorman North Coal Project,Australia,Australia & NZ,-30.466394,149.83104
Gregory Crinum Coal Mines,Australia,Australia & NZ,-23.1491384,148.3875874
